Date,Channel,Spend,Impressions,Clicks,Conversions,Revenue,CAC,ROAS,ConversionRate,CTR,Month,Week
2024-01-01,Email,95.92,78796,3582,241,15090.63,0.4,157.325,6.728,4.546,2024-01,2024-01-01/2024-01-07
2024-01-01,Paid Search,621.07,29483,1176,55,4103.03,11.29,6.606,4.677,3.989,2024-01,2024-01-01/2024-01-07
2024-01-01,SEO,191.11,215332,4980,133,8810.48,1.44,46.102,2.671,2.313,2024-01,2024-01-01/2024-01-07
2024-01-01,Paid Social,789.39,101239,1087,32,2324.51,24.67,2.945,2.944,1.074,2024-01,2024-01-01/2024-01-07
2024-01-02,Paid Search,613.19,27104,864,38,3004.5,16.14,4.9,4.398,3.188,2024-01,2024-01-01/2024-01-07
2024-01-02,Email,88.41,70753,2830,194,11633.09,0.46,131.581,6.855,4.0,2024-01,2024-01-01/2024-01-07
2024-01-02,Paid Social,821.85,101805,1188,31,2246.9,26.51,2.734,2.609,1.167,2024-01,2024-01-01/2024-01-07
2024-01-02,SEO,158.82,187680,4403,126,9377.5,1.26,59.045,2.862,2.346,2024-01,2024-01-01/2024-01-07
2024-01-03,Paid Search,577.1,24786,882,39,2698.06,14.8,4.675,4.422,3.558,2024-01,2024-01-01/2024-01-07
2024-01-03,Email,98.12,85477,3679,233,14795.47,0.42,150.79,6.333,4.304,2024-01,2024-01-01/2024-01-07
2024-01-03,SEO,155.01,179555,3431,100,7043.15,1.55,45.437,2.915,1.911,2024-01,2024-01-01/2024-01-07
2024-01-03,Paid Social,846.42,91292,1067,29,1966.81,29.19,2.324,2.718,1.169,2024-01,2024-01-01/2024-01-07
2024-01-04,SEO,180.92,209508,4031,136,9474.04,1.33,52.366,3.374,1.924,2024-01,2024-01-01/2024-01-07
2024-01-04,Paid Search,639.8,29937,893,46,3443.73,13.91,5.383,5.151,2.983,2024-01,2024-01-01/2024-01-07
2024-01-04,Email,89.52,76726,3361,193,11058.15,0.46,123.527,5.742,4.381,2024-01,2024-01-01/2024-01-07
2024-01-04,Paid Social,953.86,105678,1435,37,2536.55,25.78,2.659,2.578,1.358,2024-01,2024-01-01/2024-01-07
2024-01-05,Paid Search,616.52,25536,960,42,2812.79,14.68,4.562,4.375,3.759,2024-01,2024-01-01/2024-01-07
2024-01-05,SEO,183.13,200295,4502,148,10371.09,1.24,56.632,3.287,2.248,2024-01,2024-01-01/2024-01-07
2024-01-05,Paid Social,897.83,102723,1148,31,2077.26,28.96,2.314,2.7,1.118,2024-01,2024-01-01/2024-01-07
2024-01-05,Email,94.27,83582,3501,250,14834.56,0.38,157.362,7.141,4.189,2024-01,2024-01-01/2024-01-07
2024-01-06,Paid Social,729.73,77504,904,28,1985.9,26.06,2.721,3.097,1.166,2024-01,2024-01-01/2024-01-07
2024-01-06,Email,63.89,49211,2538,145,9015.87,0.44,141.116,5.713,5.157,2024-01,2024-01-01/2024-01-07
2024-01-06,Paid Search,493.83,23223,813,34,2612.12,14.52,5.29,4.182,3.501,2024-01,2024-01-01/2024-01-07
2024-01-06,SEO,127.15,133758,2532,82,6197.58,1.55,48.742,3.239,1.893,2024-01,2024-01-01/2024-01-07
2024-01-07,Paid Search,419.93,20240,760,29,1959.58,14.48,4.666,3.816,3.755,2024-01,2024-01-01/2024-01-07
2024-01-07,Paid Social,684.54,72926,1003,27,1943.39,25.35,2.839,2.692,1.375,2024-01,2024-01-01/2024-01-07
2024-01-07,SEO,153.59,167087,3011,84,6443.92,1.83,41.955,2.79,1.802,2024-01,2024-01-01/2024-01-07
