Date,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2024-08-26,Email,107.47,86007,3504,220,14329.85
2025-05-17,Paid Social,2734.25,321142,3340,75,5316.49
2025-10-17,Paid Search,656.71,30232,1153,58,4407.89
2024-02-02,Paid Search,596.71,28584,1047,48,3329.18
2025-06-28,SEO,134.44,152721,3004,105,7368.37
2024-01-09,Email,91.48,76435,3446,227,13450.46
2024-11-07,SEO,173.16,185121,3966,126,9538.58
2025-05-26,Paid Search,748.23,35529,1308,56,4037.09
2024-01-22,Email,98.01,77360,3210,194,12864.83
2025-08-26,Paid Social,3188.14,370874,4260,92,5682.23
2024-03-01,Paid Social,1311.77,162649,2088,49,3581.21
2024-03-31,Paid Search,536.88,23686,774,33,2411.53
2025-01-06,Paid Social,2577.5,280333,2914,82,5983.78
2024-08-08,Paid Search,627.6,25857,878,35,2463.61
2024-01-14,Paid Social,721.09,82640,1023,28,1725.92
2025-03-10,Paid Search,788.46,34591,1044,52,3599.25
2025-02-24,Paid Social,2412.21,295526,3608,103,7163.39
2025-03-02,Paid Social,1960.6,243391,3232,96,6717.48
2025-09-03,SEO,235.68,267758,5345,177,11905.38
2024-07-18,Paid Search,655.59,30094,1010,43,3312.01
2025-02-14,Paid Search,790.81,33010,1152,53,3630.28
2024-07-17,Paid Search,594.66,26406,920,46,3516.2
2024-08-24,SEO,126.29,152287,3167,94,5940.88
2024-08-29,seo,192.26,227439,4129,125,9239.57
2025-06-22,Paid Social,2419.96,278550,3112,72,4509.7
2025-01-01,SEO,190.17,213592,5053,175,13049.59
2025-10-29,Email,104.26,88024,3389,205,12224.4
2025-06-10,Paid Social,3331.47,357885,4448,80,5900.38
2024-09-20,Paid Social,2010.19,213259,2622,75,5092.16
2024-10-20,Paid Social,1838.79,226509,2817,70,5038.26
2025-02-23,Email,69.06,56678,2180,160,10127.36
2024-12-28,SEO,149.69,151920,3655,97,6736.39
2024-03-01,Paid Search,650.72,28416,1063,49,3469.85
2024-09-19,Paid Search,695.91,29460,1100,55,3865.68
2025-01-16,Email,101.33,87350,4154,291,18159.32
2024-02-22,SEO,208.38,234246,5091,170,12287.57
2025-08-25,Paid Search,725.4,34668,1331,63,5034.52
2025-04-29,Email,102.28,93109,3798,236,15223.3
2024-02-07,Paid Search,,25194,925,43,3426.98
2025-03-21,SEO,197.17,198768,4073,107,8114.41
